ID,name,score,release_date_pc_gamer,date
40,Crypt of the Necrodancer review,87,,12 May 2015
41,Samsung T1 Portable SSD review,86,,08 May 2015
42,Call of Duty: Advanced Warfare — Ascendance DLC review,68,,07 May 2015
43, Magicka: Wizard Wars review,76,,07 May 2015
44,Wolfenstein: The Old Blood review,70,,06 May 2015
45,Endless Legend: Guardians review,81,,06 May 2015
46,Project Cars review,83,,06 May 2015
47,WWE 2K15 review,67,,04 May 2015
48,Kerbal Space Program review,96,,01 May 2015
49,Infinite Crisis review,60,,29 April 2015
50,Origin PC EON15-X gaming notebook review,83,,28 April 2015
51,StarDrive 2 review,70,,28 April 2015
52,Broken Age review,73,,27 April 2015
53,Kingston HyperX Cloud II review,80,,24 April 2015
54,Gratuitous Space Battles 2 review,59,,24 April 2015
55,Hero Generations review,70,,21 April 2015
56,Mortal Kombat X review,69,,21 April 2015
57,Assassin's Creed Chronicles: China review,83,,21 April 2015
58,Dungeons 2 review,76,,20 April 2015
59,GTA 5 review,92,,20 April 2015
60,I Am Bread review,58,,20 April 2015
61,Westerado: Double Barreled review,83,,15 April 2015
62,Titan Souls review,87,,13 April 2015
63,"Please, Don't Touch Anything review",70,,10 April 2015
64,Arma 3: Marksmen DLC review,80,,09 April 2015
65,The Sims 4: Get to Work review,64,,09 April 2015
66,Etherium review,55,,08 April 2015
67,Out of the Park Baseball 16 review,91,,07 April 2015
68,MSI GT80 Titan SLI-001 gaming notebook review,85,,06 April 2015
69,Hektor review,45,,03 April 2015
70,Dragon Age Inquisition: Jaws of Hakkon review,80,,26 March 2015
71,Pillars of Eternity review,92,,26 March 2015
72,Homeworld Remastered review,92,,23 March 2015
73,Five Nights at Freddy's 3 review,77,,21 March 2015
74,Battlefield Hardline review,76,,20 March 2015
75,Far Cry 4: Valley of the Yetis review,68,,18 March 2015
76,White Night review,50,,17 March 2015
77,MSI GS30 2M Shadow with Gaming Dock review,78,,17 March 2015
78,Nvidia GeForce GTX Titan X review,90,,17 March 2015
79,Sid Meier's Starships review,54,,16 March 2015
80,Ori and the Blind Forest review,87,,13 March 2015
81,Assassin's Creed: Rogue review,74,,10 March 2015
82,Hotline Miami 2: Wrong Number review,57,,10 March 2015
83,Cities: Skylines review,86,,10 March 2015
84,LA Cops review,50,,09 March 2015
85,Pneuma: Breath of Life review,63,,02 March 2015
86,Resident Evil Revelations 2 - Episode One review,69,,02 March 2015
87,Aaru's Awakening review,60,,28 February 2015
88,Frozen Cortex review,87,,24 February 2015
89,Hand of Fate review,73,,18 February 2015
90,CyberPower PC Syber Vapor Review,95,,18 February 2015
91,Evolve review,83,,14 February 2015
92,Total War: Attila review,83,,12 February 2015
93,Sunless Sea review,80,,11 February 2015
94,Life is Strange episode one review,84,,10 February 2015
95,Grow Home review,80,,10 February 2015
96,NZXT Doko review,60,,04 February 2015
97,Heroes of Might & Magic III HD review,71,,04 February 2015
98,Gravity Ghost review,75,,04 February 2015
99,Dying Light review,70,,30 January 2015
100,Grim Fandango Remastered review,80,,27 January 2015
101,The Marvellous Miss Take review,68,,26 January 2015
102,Grey Goo review,82,,23 January 2015
103,Final Fantasy XIII-2 review,59,,23 January 2015
104,EVGA GeForce GTX 960 review,82,,22 January 2015
105,Resident Evil HD Remaster review,80,,19 January 2015
106,Saints Row: Gat Out of Hell review,67,,19 January 2015
107,MSI GT72 2QE Dominator Pro review,80,,16 January 2015
108,Philips 40-inch 4K monitor review,88,,15 January 2015
109,NS2: Combat review,49,,03 January 2015
110,Alienware Alpha review,76,,23 December 2014
111,Elite: Dangerous review,86,,23 December 2014
112,Scrolls review,78,,22 December 2014
113,HP Omen Review,90,,19 December 2014
114,Metal Gear Solid V: Ground Zeroes review,87,,18 December 2014
115,Dead State review,72,,17 December 2014
116,Steelseries Siberia V3 review,80,,12 December 2014
117,Door Kickers review,84,,11 December 2014
118,Samsung 850 EVO SSD review,83,,11 December 2014
119,Lara Croft and the Temple of Osiris review,79,,09 December 2014
120,The Talos Principle review,84,,09 December 2014
121,The Crew review,70,,08 December 2014
122,Geometry Wars 3: Dimensions review,86,,02 December 2014
123,Five Nights at Freddy's 2 review,70,,25 November 2014
124,Defenders of Time review,45,,24 November 2014
125,Never Alone review,85,,24 November 2014
126,Far Cry 4 review,89,,24 November 2014
127,World of Warcraft: Warlords of Draenor review,90,,21 November 2014
128,SteelSeries Siberia Raw Prism review,82,,21 November 2014
129,This War of Mine review,80,,19 November 2014
130,A Bird Story review,40,,18 November 2014
131,PES 2015 review,85,,17 November 2014
132,Company of Heroes 2: Ardennes Assault review,81,,17 November 2014
133,Assassin's Creed Unity review,65,,14 November 2014
134,Icewind Dale Enhanced Edition review,74,,13 November 2014
135,Randal's Monday review,53,,13 November 2014
136,Arma 3 Helicopters DLC review,84,,12 November 2014
137,Valkyria Chronicles review,89,,12 November 2014
138,Dragon Age: Inquisition review,87,,11 November 2014
139,Call of Duty: Advanced Warfare review,74,,08 November 2014
140,Farming Simulator 15 review,40,,06 November 2014
141,Football Manager 2015 review,61,,06 November 2014
142,Sherlock Holmes: Crimes and Punishments review,84,,06 November 2014
143,AOC U3477Pqu monitor review,87,,03 November 2014
144,Legend of Grimrock 2 review,85,,03 November 2014
145,Final Fantasy XIII review,48,,30 October 2014
146,Dungeon of the Endless review,77,,28 October 2014
147,NBA 2K15 review,88,,28 October 2014
148,Lords of the Fallen review,58,,28 October 2014
149,MSI GS70 2QE Stealth Pro laptop review,84,,27 October 2014
150,The Legend of Korra review,63,,24 October 2014
0,Immortals Fenyx Rising review,72,,30 November 2020
1,Empire of Sin review,49,,30 November 2020
2,Wingspan review,90,,28 November 2020
3,Destiny 2: Beyond Light review,80,,24 November 2020
4,The Pathless review,85,,23 November 2020
5,Football Manager 2021 review,85,,23 November 2020
6,Ghostrunner review,81,,19 November 2020
7,Gigabyte Aorus 5 gaming laptop review,78,,19 November 2020
8,AMD Ryzen 9 5950X review,89,,19 November 2020
9,AMD RX 6800 review,89,,18 November 2020
10,AMD RX 6800 XT review,90,,18 November 2020
11,Godfall review,65,,18 November 2020
12,DXRacer Master gaming chair review,90,,17 November 2020
13,Möbius Front '83 review,74,,17 November 2020
14,Call of Duty: Black Ops - Cold War review,69,,16 November 2020
15,Razer Seiren Mini microphone review,82,,16 November 2020
16,Steelseries Arctis 7X review,90,,16 November 2020
17,Samsung Odyssey G7 C27G7 review,85,,10 November 2020
18,Fuser review,77,,10 November 2020
19,AMD Ryzen 5 5600X review,90,,10 November 2020
20,Bugsnax review,60,,09 November 2020
21,Assassin's Creed Valhalla review,92,,09 November 2020
22,AMD Ryzen 7 5800X review,86,,06 November 2020
23,The Falconeer review,78,,06 November 2020
24,AMD Ryzen 9 5900X review,91,,05 November 2020
25,LG UltraGear 27GN950 gaming monitor review,88,,04 November 2020
26,HyperX SoloCast microphone review,84,,04 November 2020
27,Yakuza: Like a Dragon review,72,,04 November 2020
28,Glorious Modular Mechanical Keyboard (GMMK) review,88,,03 November 2020
29,Corsair HS60 Haptic gaming headset review,71,,02 November 2020
30,Dirt 5 review,60,,02 November 2020
31,Shure MV7 Podcast microphone review,92,,29 October 2020
32,Little Hope review,74,,29 October 2020
33,Asus TUF RTX 3070 OC review,83,,29 October 2020
34,Watch Dogs Legion review,80,,28 October 2020
35,Acer Predator Helios 300 gaming laptop review,88,,27 October 2020
36,Nvidia RTX 3070 review Founders Edition,90,,27 October 2020
37,Cooler Master Ergo L gaming chair review,66,,26 October 2020
38,Doom Eternal: The Ancient Gods – Part One review,89,,26 October 2020
39,Squad review,75,,24 October 2020
40,Glorious Model O Gaming Mouse Review,80,,23 October 2020
41,Logitech G733 Lightspeed Wireless RGB gaming headset review,68,,23 October 2020
42,AOC C27G2 gaming monitor review,71,,23 October 2020
43,Torchlight 3 review,60,,22 October 2020
44,Disc Room review,78,,22 October 2020
45,WD Black AN1500 2TB NVMe SSD AIC review,84,,20 October 2020
46,"Cook, Serve, Delicious 3?! review",74,,19 October 2020
47,Amnesia: Rebirth review,91,,19 October 2020
48,Asus TUF A520M-Plus gaming motherboard review,81,,19 October 2020
49,Genshin Impact review,84,,16 October 2020
50,Astro A20 wireless gaming headset review,80,,16 October 2020
51,ASRock A520M ITX/ac gaming motherboard review,89,,16 October 2020
52,Gigabyte G27Q Gaming Monitor review,88,,16 October 2020
53,Gigabyte A520 Aorus Elite motherboard review,87,,16 October 2020
54,Oculus Quest 2 review,90,,16 October 2020
55,Age of Empires 3: Definitive Edition review,70,,16 October 2020
56,FIFA 21 review,70,,15 October 2020
57,Origin Millennium gaming PC review,85,,15 October 2020
58,Noita review,81,,14 October 2020
59,Partisans 1941 review,80,,14 October 2020
60,MSI MEG Z490i Unify ITX motherboard review,85,,09 October 2020
61,Dell XPS Desktop review,76,,08 October 2020
62,NZXT N7 Z490 motherboard review,80,,07 October 2020
63,MSI GeForce RTX 3080 Gaming X Trio 10G review,92,,05 October 2020
64,Star Wars: Squadrons review,83,,03 October 2020
65,Roccat Elo 7.1 Air (Wireless headset) review,82,,02 October 2020
66,Palit GeForce RTX 3080 GamingPro OC review,88,,02 October 2020
67,HyperX Quadcast S microphone review,88,,02 October 2020
68,Fnatic Ministreak Keyboard review,75,,02 October 2020
69,Noblechairs Hero Gaming Chair Doom Edition review,82,,01 October 2020
70,Corsair K100 RGB Optical-Mechanical Gaming Keyboard review,91,,01 October 2020
71,Spelunky 2 review,87,,28 September 2020
72,iBuyPower Gaming RDY Element CL Plus review,80,,28 September 2020
73,Gigabyte Aorus 17X Gaming Laptop review,88,,25 September 2020
74,Mafia: Definitive Edition review,79,,24 September 2020
75,Serious Sam 4 review,71,,24 September 2020
76,Nvidia RTX 3090 Founders Edition review,84,,24 September 2020
77,Samsung 980 Pro 500GB SSD review,88,,22 September 2020
78,Pendragon review,78,,22 September 2020
79,Asus TUF Gaming RTX 3080 OC review,89,,21 September 2020
80,Surgeon Simulator 2 review,70,,18 September 2020
81,BPM: Bullets Per Minute review,68,,18 September 2020
82,Hades review,90,,18 September 2020
83,Star Renegades review,72,,17 September 2020
84,Nvidia RTX 3080 Founders Edition review,92,,16 September 2020
85,Razer Naga Pro wireless gaming mouse review,90,,15 September 2020
86,Madden NFL 21 review,68,,09 September 2020
87,Tony Hawk's Pro Skater 1 + 2 review,86,,07 September 2020
88,Asrock B550M-HDV gaming motherboard review,80,,07 September 2020
89,Marvel's Avengers review,69,,07 September 2020
90,Silicon Power US70 2TB PCIe Gen4x4 SSD review,92,,04 September 2020
91,Paradise Killer review,91,,03 September 2020
92,AVerMedia Live Gamer Duo review,90,,02 September 2020
93,Tell Me Why review,69,,02 September 2020
94,Creative SXFI Gamer gaming headset review,84,,02 September 2020
95,Crusader Kings 3 review,94,,31 August 2020
96,Iron Harvest review,82,,31 August 2020
97,Asus Maximus XII Apex gaming motherboard review,93,,27 August 2020
98,Wasteland 3 review,84,,26 August 2020
99,No Straight Roads review,78,,25 August 2020
100,Maingear Turbo gaming PC review,91,,24 August 2020
101,Factorio review,91,,24 August 2020
102,Team Xtreem ARGB DDR4-3600 C14 gaming memory review,90,,24 August 2020
103,Microsoft Flight Simulator review,89,,20 August 2020
104,Lian Li UNI FAN SL120 review,80,,20 August 2020
105,EK-Fluid Gaming PC 250 Conquest review,89,,20 August 2020
106,Logitech G Pro X Wireless gaming headset review,68,,20 August 2020
107,Spiritfarer review,85,,18 August 2020
108,Mortal Shell review,80,,17 August 2020
109,ASRock B550 Taichi gaming motherboard review,84,,17 August 2020
110,Razer Huntsman Mini gaming keyboard review,80,,12 August 2020
111,G.Skill Trident Z Royal DDR4-4000 gaming memory review,95,,12 August 2020
112,A Total War Saga: Troy review,75,,12 August 2020
113,Risk of Rain 2 review,84,,11 August 2020
114,LG OLED48CX TV review,89,,11 August 2020
115,Fall Guys: Ultimate Knockout review,80,,07 August 2020
116,Audeze Mobius gaming headset review,77,,06 August 2020
117,Horizon Zero Dawn review,86,,06 August 2020
118,Paper Beast review,70,,05 August 2020
119,Fanatec CSL Elite racing wheel review,90,,05 August 2020
120,Kingston KC2500 1TB NVMe SSD review,74,,04 August 2020
121,Rocket Arena review,78,,31 July 2020
122,Othercide review,76,,31 July 2020
123,Carrion review,72,,30 July 2020
124,Razer BlackShark V2 gaming headset review,92,,30 July 2020
125,Fae Tactics review,77,,30 July 2020
126,Necrobarista review,80,,28 July 2020
127,Acer Predator X38 gaming monitor review,90,,28 July 2020
128,Nighthawk Pro Gaming XR500 review,80,,24 July 2020
129,HyperX Alloy Elite 2 gaming keyboard review,86,,20 July 2020
130,Asus AI Noise-Cancelling Mic Adapter review,82,,20 July 2020
131,LG UltraGear 34GN850 review,83,,20 July 2020
132,Sabrent Rocket Q 8TB NVMe SSD review,88,,16 July 2020
133,Halo 3 review,87,,16 July 2020
134,Razer Blade 15 Advanced gaming laptop review,92,,15 July 2020
135,﻿Beyond a Steel Sky review,81,,13 July 2020
136,Death Stranding review,85,,13 July 2020
137,F1 2020 review,88,,10 July 2020
138,AMD Ryzen 5 3600XT review,83,,10 July 2020
139,Story of Seasons: Friends of Mineral Town review,68,,10 July 2020
140,Asus TUF Gaming B550M-Plus Wi-Fi review,75,,10 July 2020
141,MSI MAG B550M Mortar review,77,,10 July 2020
142,Superhot: Mind Control Delete review,82,,09 July 2020
143,Razer Deathadder V2 Mini gaming mouse review,80,,09 July 2020
144,Asus ROG Strix B550-E Gaming review,81,,09 July 2020
145,Shadow Empire review,75,,08 July 2020
146,AMD Ryzen 7 3800XT review,74,,08 July 2020
147,ASUS TUF Gaming B460M Plus Wi-Fi review,79,,08 July 2020
148,Corsair Vengeance a4100 gaming PC review,88,,07 July 2020
149,AMD Ryzen 9 3900XT review,82,,07 July 2020
150,ASRock B460 Steel Legend review,88,,06 July 2020
0,A Mortician's Tale review,82,,18 October 2017
1,Rogue Trooper Redux review,58,,18 October 2017
2,South Park: The Fractured But Whole review,86,,17 October 2017
3,Overgrowth review,72,,16 October 2017
4,The Evil Within 2 review,80,,16 October 2017
5,A Hat in Time review,86,,11 October 2017
6,Deadbeat Heroes review,70,,11 October 2017
7,FIFA 18 review,84,,06 October 2017
8,Intel i5-8400 review - the best new gaming CPU in years,90,,06 October 2017
9,Intel Core i7-8700K review,90,,05 October 2017
10,Middle-earth: Shadow of War review,73,,05 October 2017
11,Forza Motorsport 7 review,82,,03 October 2017
12,Tooth and Tail review,80,,02 October 2017
13,Cuphead review,86,,02 October 2017
14,Hob review,77,,26 September 2017
15,Ruiner review,84,,26 September 2017
16,Marvel vs Capcom: Infinite review,74,,26 September 2017
17,Intel Core i9-7960X review: 16-cores at $105 each,70,,25 September 2017
18,"Intel Core i9-7980XE review: an incredibly fast CPU, but gamers don't need it",70,,25 September 2017
19,Total War: Warhammer 2 review,92,,25 September 2017
20,Heat Signature review,85,,21 September 2017
21,Divinity: Original Sin 2 review,92,,21 September 2017
22,Last Day of June review,68,,20 September 2017
23,Pro Evolution Soccer 2018 review,78,,20 September 2017
24,Acer Predator 21 X Review,70,,19 September 2017
25,Dishonored: Death of the Outsider review,82,,19 September 2017
26,Project Cars 2 review,89,,18 September 2017
27,Ark: Survival Evolved review,72,,07 September 2017
28,Sonic Mania review,82,,01 September 2017
29,Absolver review,78,,29 August 2017
30,MSI X299 Gaming M7 ACK motherboard review,90,,29 August 2017
31,XCOM 2: War of the Chosen review,80,,29 August 2017
32,Observer review,45,,23 August 2017
33,F1 2017 review,88,,23 August 2017
34,Nidhogg 2 review,87,,21 August 2017
35,AMD Radeon RX Vega 64 review,77,,18 August 2017
36,Rez Infinite review,88,,15 August 2017
37,Agents of Mayhem review,67,,15 August 2017
38,LawBreakers review,84,,11 August 2017
39,West of Loathing review,88,,10 August 2017
40,Corsair Glaive RGB Aluminum review,95,,09 August 2017
41,Hellblade: Senua's Sacrifice review,78,,08 August 2017
42,Slime Rancher review,65,,07 August 2017
43,ViewSonic XG2703-GS gaming monitor review,90,,04 August 2017
44,The Long Dark review,85,,04 August 2017
45,Tacoma review,84,,01 August 2017
46,Behold The Kickmen review,26,,31 July 2017
47,Dream Daddy: A Dad Dating Simulator review,70,,25 July 2017
48,Pyre review,71,,24 July 2017
49,Antihero review,75,,24 July 2017
50,Corsair K95 RGB Platinum review,95,,21 July 2017
51,Hollow Knight review,92,,10 July 2017
52,The Secret World: Legends review,76,,10 July 2017
53,WhiteFox mechanical keyboard review,90,,07 July 2017
54,The Golf Club 2 review,71,,06 July 2017
55,Netduma R1 is a serious router for gamers,81,,03 July 2017
56,Nex Machina review,89,,29 June 2017
57,Caveblazers review,84,,28 June 2017
58,Asus ROG Zephyrus review,95,,27 June 2017
59,Get Even review,66,,27 June 2017
60,Final Fantasy 14: Stormblood review,92,,27 June 2017
61,Rising Storm 2: Vietnam review,85,,22 June 2017
62,Asus Strix GeForce GTX 1050 Ti review,65,,21 June 2017
63,The Elder Scrolls Online: Morrowind review,75,,08 June 2017
64,Dirt 4 review,70,,08 June 2017
65,Tekken 7 review,79,,05 June 2017
66,Ultimate Epic Battle Simulator review,45,,05 June 2017
67,Friday the 13th review,75,,31 May 2017
68,Tokyo 42 review,69,,31 May 2017
69,The Long Journey Home review,68,,31 May 2017
70,Mirage: Arcane Warfare review,74,,30 May 2017
71,Steel Division: Normandy 44 review,88,,30 May 2017
72,Perception review,50,,29 May 2017
73,Netgear Nighthawk S8000 gaming switch review,83,,25 May 2017
74,Vanquish review,80,,25 May 2017
75,Rime review,62,,25 May 2017
76,The Fidelio Incident review ,67,,23 May 2017
77,Endless Space 2 review,77,,19 May 2017
78,Forza Horizon 3: Hot Wheels review,83,,18 May 2017
79,SteelSeries Rival 700 review,90,,16 May 2017
80,The Surge review,60,,16 May 2017
81,Flinthook review,79,,12 May 2017
82,Beat Cop review,65,,10 May 2017
83,Prey review,79,,09 May 2017
84,Strafe review,72,,09 May 2017
85,Man O' War: Corsair review,61,,03 May 2017
86,What Remains of Edith Finch review,91,,28 April 2017
87,Dawn of War 3 review,78,,28 April 2017
88,Everything review,80,,27 April 2017
89,Scanner Sombre review,80,,26 April 2017
90,Syberia 3 review,30,,25 April 2017
91,Outlast 2 review,85,,24 April 2017
92,Little Nightmares review,78,,24 April 2017
93,Full Throttle Remastered review,77,,24 April 2017
94,Mr Shifty review,70,,21 April 2017
95,Zero Escape: The Nonary Games review,90,,21 April 2017
96,Radeon RX 580 review,88,,20 April 2017
97,The Sexy Brutale review,82,,18 April 2017
98,Guardians of the Galaxy: Episode 1 review,58,,18 April 2017
99,Bayonetta review,93,,13 April 2017
100,The Signal From Tölva review,80,,10 April 2017
101,Stellaris: Utopia review,87,,07 April 2017
102,Battle Brothers review,84,,04 April 2017
103,Yooka-Laylee review,68,,04 April 2017
104,Dark Souls 3: The Ringed City review,77,,03 April 2017
105,Thimbleweed Park review,84,,30 March 2017
106,GeForce GTX 1080 Ti review,92,,28 March 2017
107,Corsair One Review,92,,28 March 2017
108,Rain World review,80,,27 March 2017
109,Nier: Automata review,79,,23 March 2017
110,Desync review,58,,23 March 2017
111,Netgear Nighthawk X10 Review,80,,20 March 2017
112,The Hunter: Call of the Wild review,60,,20 March 2017
113,Mass Effect: Andromeda review,80,,20 March 2017
114,The Elder Scrolls: Legends review,78,,17 March 2017
115,Styx: Shards of Darkness review,79,,14 March 2017
116,Ghost Recon Wildlands review,67,,09 March 2017
117,Deus Ex: A Criminal Past DLC review,79,,03 March 2017
118,Stories Untold review,80,,01 March 2017
119,Night in the Woods review,82,,28 February 2017
120,Torment: Tides of Numenera review,89,,28 February 2017
121,Halo Wars 2 review,65,,21 February 2017
122,Intel Pentium G4560 Review: a great budget gaming CPU,83,,17 February 2017
123,For Honor review,74,,16 February 2017
124,Sniper Elite 4 review,84,,16 February 2017
125,Take On Mars review,69,,13 February 2017
126,WWE 2K17 review,45,,13 February 2017
127,Diluvion review,72,,01 February 2017
128,Intel Core i3-7350K Review,77,,31 January 2017
129,Intel Core i5-7600K Review,87,,27 January 2017
130,GoNNER review,71,,27 January 2017
131,Intel Core i7-7700K Review,85,,24 January 2017
132,Resident Evil 7: Biohazard review,90,,23 January 2017
133,Shadow Tactics: Blades of the Shogun review,92,,17 January 2017
134,Ladykiller in a Bind review,78,,11 January 2017
135,The Walking Dead: A New Frontier episode one and two review,82,,20 December 2016
136,The Dwarves review,45,,19 December 2016
137,Space Hulk: Deathwing review,60,,16 December 2016
138,Orwell review,78,,13 December 2016
139,Total War: Warhammer Realm of the Wood Elves review,79,,12 December 2016
140,Dead Rising 4 review,73,,09 December 2016
141,Steep review,65,,09 December 2016
142,Watch Dogs 2 review,68,,06 December 2016
143,Hitman: The Complete First Season review,84,,23 November 2016
144,Killing Floor 2 review,81,,23 November 2016
145,Planet Coaster review,75,,21 November 2016
146,Logitech Pro Gaming Mouse review,87,,18 November 2016
147,Dishonored 2 review,93,,18 November 2016
148,Owlboy review,82,,11 November 2016
149,Tyranny review,75,,10 November 2016
150,Call of Duty: Infinite Warfare review,48,,09 November 2016
0,The Outer Worlds review,79,,22 October 2019
1,"Six Ages: Ride Like the Wind review
",88,,17 October 2019
2,GRID review,68,,16 October 2019
3,Velocity Micro Raptor Z55 gaming PC review,80,,15 October 2019
4,Disco Elysium review,92,,15 October 2019
5,Destiny 2: Shadowkeep review,76,,14 October 2019
6,Indivisible review,75,,10 October 2019
7,John Wick Hex review,80,,08 October 2019
8,Ghost Recon Breakpoint review,40,,07 October 2019
9,Trine 4 review,73,,07 October 2019
10,Neo Cab review,79,,04 October 2019
11,What the Golf? review,88,,02 October 2019
12,Magic: The Gathering Arena review,79,,02 October 2019
13,Asus ROG Swift PG27UQ gaming monitor review,90,,01 October 2019
14,Sapphire Radeon RX 5700 Pulse review,84,,01 October 2019
15,Corsair Virtuoso RGB Wireless SE Review,85,,27 September 2019
16,Crying Suns review,79,,26 September 2019
17,Overland review,62,,24 September 2019
18,FIFA 20 review,72,,24 September 2019
19,The Surge 2 review,79,,24 September 2019
20,Ni No Kuni: Wrath of the White Witch Remastered review,78,,23 September 2019
21,Untitled Goose Game review,80,,23 September 2019
22,eFootball PES 2020 review,77,,20 September 2019
23,Blasphemous review,70,,19 September 2019
24,AMD Ryzen 7 3700X review,87,,17 September 2019
25,AMD Ryzen 9 3900X review,90,,12 September 2019
26,HyperX Cloud Orbit S gaming headset review,92,,12 September 2019
27,Children of Morta review,68,,12 September 2019
28,GreedFall review,67,,10 September 2019
29,Gears 5 review,78,,09 September 2019
30,Borderlands 3 review,63,,09 September 2019
31,Blair Witch review,58,,05 September 2019
32,Pagan Online review,68,,05 September 2019
33,Hunt: Showdown review,74,,04 September 2019
34,Headspun review,54,,03 September 2019
35,World of Warcraft Classic review,80,,30 August 2019
36,Man of Medan review,81,,28 August 2019
37,Knights and Bikes review,78,,28 August 2019
38,World of Warcraft 2004 review,94,,27 August 2019
39,Ancestors: The Humankind Odyssey review,58,,26 August 2019
40,Control review,88,,26 August 2019
41,Rad review,62,,22 August 2019
42,Telling Lies review,87,,21 August 2019
43,Dicey Dungeons review,81,,20 August 2019
44,Rebel Galaxy Outlaw review,78,,20 August 2019
45,Remnant: From the Ashes review,77,,20 August 2019
46,CLX Ra gaming PC review,73,,16 August 2019
47,Origin EVO16-S gaming laptop review,84,,15 August 2019
48,Ion Fury review,77,,14 August 2019
49,LucidSound LS25 gaming headset review,85,,06 August 2019
50,Age of Wonders: Planetfall review,85,,05 August 2019
51,Streets of Rogue review,84,,03 August 2019
52,Origin Millennium gaming PC review (2019),75,,02 August 2019
53,Razer Viper ambidextrous gaming mouse review,85,,02 August 2019
54,Eagle Island review,69,,26 July 2019
55,Wolfenstein: Youngblood review,79,,25 July 2019
56,Tetris Effect review,90,,25 July 2019
57,Final Fantasy 14: Shadowbringers review,94,,23 July 2019
58,LucidSound LS41 wireless gaming headset review,75,,23 July 2019
59,Nvidia GeForce RTX 2080 Super review,79,,23 July 2019
60,Razer Kraken X headset review,75,,23 July 2019
61,Night Call review,65,,17 July 2019
62,Sea of Solitude review,64,,12 July 2019
63,AMD Radeon RX 5700 review,80,,10 July 2019
64,AMD Radeon RX 5700 XT review,83,,09 July 2019
65,Nvidia GeForce RTX 2060 Super review,84,,02 July 2019
66,Nvidia GeForce RTX 2070 Super review,82,,02 July 2019
67,Heavy Rain review,69,,01 July 2019
68,MSI X470 Gaming M7 AC motherboard review,90,,27 June 2019
69,Steel Division 2 review,61,,27 June 2019
70,Amid Evil review,86,,26 June 2019
71,Lexip Pu94 gaming mouse review,80,,25 June 2019
72,Bloodstained: Ritual of the Night review,77,,25 June 2019
73,The Sinking City review,66,,25 June 2019
74,My Friend Pedro review,81,,24 June 2019
75,F1 2019 review,91,,21 June 2019
76,HyperX Cloud MIX gaming headset review,89,,21 June 2019
77,Oculus Quest review,91,,19 June 2019
78,Corsair M55 RGB Pro gaming mouse review,70,,13 June 2019
79,Corsair Night Sword gaming mouse review,78,,13 June 2019
80,Roccat Kain 120 gaming mouse review,85,,11 June 2019
81,Asus Rog Strix XG32VQR gaming monitor review,75,,10 June 2019
82,MSI GS65 Stealth Thin (2019) review,88,,07 June 2019
83,Octopath Traveler review,76,,07 June 2019
84,Maingear Vybe gaming PC review,90,,05 June 2019
85,Warhammer: Chaosbane review,58,,31 May 2019
86,BenQ EL2870U gaming monitor review,89,,31 May 2019
87,Outer Wilds review,89,,29 May 2019
88,Swiftpoint Z gaming mouse review,74,,29 May 2019
89,Void Bastards review,71,,28 May 2019
90,Pathologic 2 review,66,,28 May 2019
91,A Plague Tale: Innocence review,72,,24 May 2019
92,Layers of Fear 2 review,57,,24 May 2019
93,Observation review,82,,21 May 2019
94,Alienware Area-51m review,64,,20 May 2019
95,Mordhau review,84,,17 May 2019
96,Total War: Three Kingdoms review,78,,16 May 2019
97,Rage 2 review,70,,14 May 2019
98,Logitech G502 Lightspeed wireless gaming mouse review,88,,08 May 2019
99,Razer Blade 15 Advanced Model (2019) review,95,,06 May 2019
100,Rise of Industry review,72,,04 May 2019
101,World War Z review,60,,03 May 2019
102,Yakuza Kiwami 2 review,88,,02 May 2019
103,Oculus Rift S review,82,,01 May 2019
104,Katana Zero review,79,,30 April 2019
105,Operencia: The Stolen Sun review,61,,26 April 2019
106,Whispers of a Machine review,70,,26 April 2019
107,Mortal Kombat 11 review,85,,26 April 2019
108,Asus ROG Strix Scope mechanical keyboard review,80,,26 April 2019
109,Imperator: Rome review,92,,25 April 2019
110,Nvidia GeForce GTX 1650 review,75,,23 April 2019
111,Weedcraft Inc review,75,,18 April 2019
112,ViewSonic VX3258-2KC-MHD gaming monitor review,73,,18 April 2019
113,Roccat Kova AIMO gaming mouse review,70,,16 April 2019
114,Heaven's Vault review,88,,16 April 2019
115,Pathway review,57,,15 April 2019
116,Anno 1800 review,84,,15 April 2019
117,NZXT HUE 2 review,92,,14 April 2019
118,Phoenix Wright: Ace Attorney Trilogy review,83,,13 April 2019
119,Outward review,89,,10 April 2019
120,HP Omen X Emperium 65 BFGD review,55,,10 April 2019
121,Iogear Fokus 2 gaming mouse review,81,,10 April 2019
122,Vertagear PL4500 gaming chair review,70,,05 April 2019
123,Acer Predator Triton 500 review,83,,03 April 2019
124,MSI Trident X Review,90,,02 April 2019
125,Asus ROG Strix XG49VQ ultrawide gaming monitor review,72,,29 March 2019
126,Tropico 6 review,79,,29 March 2019
127,Corsair One Pro i180 gaming PC review,65,,28 March 2019
128,Generation Zero review,67,,27 March 2019
129,Asus ROG Delta headset review,85,,26 March 2019
130,The Walking Dead: The Final Season review,70,,26 March 2019
131,Sekiro: Shadows Die Twice review,92,,25 March 2019
132,iBuyPower RDY ELIBG207 gaming PC review,93,,20 March 2019
133,Creative Stage 2.1 PC speakers review,79,,20 March 2019
134,The Division 2 review,82,,18 March 2019
135,Baba is You review,90,,15 March 2019
