review_score,review_score_desc,total_positive,total_negative,appid,name,ign_score,ign_release_data,ign_comments,pc_gamer_score,pc_gamer_release_data
9,Overwhelmingly Positive,133829,5089,391540,Undertale,10.0,2018-09-18,3027,91,2015-09-29
8,Very Positive,19263,2198,391720,Layers of Fear,5.8,2016-02-14,437,64,2016-02-14
5,Mixed,2469,1658,393080,Call of Duty: Modern Warfare Remastered,8.5,2016-11-09,1046,80,2019-10-25
5,Mixed,5873,3614,394230,Battleborn,7.1,2016-05-07,2691,72,2016-05-11
7,Positive,23,2,395260,Shadowrun: Hong Kong Deluxe Upgrade DLC,8.0,2015-09-12,182,70,2015-08-28
5,Mixed,591,288,395570,We Are The Dwarves,6.2,2016-12-02,33,45,2016-12-19
8,Very Positive,51468,10116,397540,Borderlands 3,9.0,2019-09-09,2047,63,2019-09-09
6,Mostly Positive,4970,1516,399810,Call of Cthulhu,8.6,2018-10-31,286,59,2018-11-06
8,Very Positive,31983,5450,403640,Dishonored 2,9.3,2016-11-14,3,93,2016-11-18
8,Very Positive,1434,190,404540,Nex Machina,8.0,2017-06-24,158,89,2017-06-29
8,Very Positive,3266,385,404680,Hob,7.8,2017-09-29,89,77,2017-09-26
6,Mostly Positive,23,6,404860,Inside Me,10.0,2016-06-29,3998,76,2016-07-07
8,Very Positive,3197,532,405310,LEGO MARVEL's Avengers,6.7,2016-01-28,572,52,2016-02-04
5,Mixed,286,317,405500,Dangerous Golf,6.0,2016-06-03,89,35,2016-06-04
6,Mostly Positive,9755,3188,411300,ELEX,4.9,2017-10-20,448,64,2017-11-08
8,Very Positive,36582,5070,412020,Metro Exodus,8.5,2019-02-13,1367,78,2019-02-13
9,Overwhelmingly Positive,282239,6541,413150,Stardew Valley,8.8,2016-03-25,1033,80,2016-02-26
8,Very Positive,18879,2214,414700,Outlast 2,8.3,2017-04-25,768,85,2017-04-24
5,Mixed,1359,714,415590,Earthfall,5.5,2018-07-14,154,74,2018-07-17
9,Overwhelmingly Positive,20217,792,418240,Shadow Tactics: Blades of the Shogun,8.2,2016-12-16,45,92,2017-01-17
8,Very Positive,32232,2280,418370,Resident Evil 7 Biohazard,7.7,2017-01-24,4185,90,2017-01-23
8,Very Positive,7261,574,418530,Spelunky 2,10.0,2020-09-14,709,87,2020-09-28
8,Very Positive,1086,115,419460,"That Dragon, Cancer",8.0,2016-01-16,506,75,2016-01-15
6,Mostly Positive,7834,2634,421020,DiRT 4,9.2,2017-06-06,450,70,2017-06-08
6,Mostly Positive,1469,473,421170,Indivisible,8.8,2019-10-07,149,75,2019-10-10
8,Very Positive,6800,682,423230,Furi,6.8,2016-07-14,373,86,2016-07-06
5,Mixed,32321,25760,424370,Wolcen: Lords of Mayhem,5.0,2020-03-03,110,58,2020-02-24
8,Very Positive,16361,1485,424840,Little Nightmares,8.8,2017-04-26,212,78,2017-04-24
6,Mostly Positive,312,128,426310,Perception,4.8,2017-05-26,85,50,2017-05-29
8,Very Positive,1164,125,426790,Grow Up,7.8,2016-08-19,60,73,2016-08-23
9,Overwhelmingly Positive,105145,4295,435150,Divinity: Original Sin 2,9.6,2017-09-22,935,92,2017-09-21
8,Very Positive,3372,653,438640,LEGO STAR WARS: The Force Awakens,9.0,2016-06-29,976,64,2016-07-04
6,Mostly Positive,39518,11414,438740,Friday the 13th: The Game,6.9,2017-06-02,1477,75,2017-05-31
6,Mostly Positive,46862,13559,440900,Conan Exiles,6.7,2018-05-18,407,65,2018-05-15
5,Mixed,150,66,445020,Frozen Synapse 2,7.9,2018-09-14,14,85,2018-09-13
9,Overwhelmingly Positive,1365,70,447150,APE OUT,8.8,2019-02-28,78,70,2019-03-07
8,Very Positive,4710,599,451020,Battle Chasers: Nightwar,8.0,2017-10-04,265,81,2017-10-21
8,Very Positive,3715,611,456670,Hand of Fate 2,8.0,2017-11-08,31,82,2017-11-07
6,Mostly Positive,12734,3236,460920,Steep,7.9,2016-12-08,569,65,2016-12-09
6,Mostly Positive,38317,11679,460930,Tom Clancy's Ghost Recon Wildlands,7.9,2017-03-09,3,67,2017-03-09
9,Overwhelmingly Positive,29141,486,460950,Katana ZERO,8.7,2019-04-18,68,79,2019-04-30
8,Very Positive,5936,627,462770,Pyre,9.7,2017-07-25,699,71,2017-07-24
8,Very Positive,7418,769,464060,RUINER,6.0,2017-09-26,184,84,2017-09-26
8,Very Positive,11046,2239,464920,Surviving Mars,7.8,2018-03-15,44,80,2018-03-15
5,Mixed,8062,3673,473690,Absolver,7.6,2017-08-29,173,78,2017-08-29
8,Very Positive,15413,2650,474960,Quantum Break,8.0,2016-04-01,8779,70,2016-04-07
8,Very Positive,232,14,477130,Surge,7.9,2017-05-16,732,60,2017-05-16
0,No user reviews,0,0,914600,Surge,7.9,2017-05-16,732,60,2017-05-16
0,7 user reviews,5,2,951690,Surge,7.9,2017-05-16,732,60,2017-05-16
8,Very Positive,9848,612,481510,Night in the Woods,8.7,2017-02-26,251,82,2017-02-28
8,Very Positive,1341,313,485460,The Banner Saga 3,8.3,2018-07-26,99,90,2018-07-26
6,Mostly Positive,10965,2941,488790,South Park The Fractured But Whole,8.5,2017-10-16,902,86,2017-10-17
6,Mostly Positive,2742,715,489630,"Warhammer 40,000: Gladius - Relics of War",7.9,2018-07-09,48,61,2018-07-13
5,Mixed,378,167,490450,Tokyo 42,6.5,2017-05-31,44,69,2017-05-31
8,Very Positive,13878,2202,492720,Tropico 6,7.3,2019-03-29,104,79,2019-03-29
8,Very Positive,37999,4079,493340,Planet Coaster,8.5,2016-11-24,210,75,2016-11-21
6,Mostly Positive,13077,3993,495420,State of Decay 2,7.5,2018-05-17,4051,74,2018-05-17
9,Overwhelmingly Positive,16918,824,501300,What Remains of Edith Finch,8.8,2017-04-27,638,91,2017-04-28
9,Overwhelmingly Positive,26938,614,504230,Celeste,10.0,2018-01-26,1107,80,2018-01-25
8,Very Positive,46610,8731,504370,Battlerite,8.2,2018-01-09,90,89,2017-12-01
5,Mixed,2408,1624,506970,DARK SOULS III - Ashes of Ariandel,7.8,2016-10-25,661,70,2016-10-26
8,Very Positive,2583,427,506971,DARK SOULS III - The Ringed City,8.0,2017-03-28,455,77,2017-04-03
6,Mostly Positive,2651,818,507490,Ashes of the Singularity: Escalation,8.1,2016-11-11,17,75,2016-04-01
8,Very Positive,4339,739,515220,F1 2017,8.9,2017-08-25,114,88,2017-08-23
5,Mixed,10060,7606,517630,Just Cause 4,7.9,2018-12-04,628,73,2018-12-03
6,Mostly Positive,4101,1228,521890,Hello Neighbor,4.1,2017-12-12,177,38,2017-12-20
5,Mixed,107,53,532920,The Artifact,8.5,2018-12-13,216,80,2018-12-05
8,Very Positive,646,156,535520,Nidhogg 2,8.0,2017-08-14,32,87,2017-08-21
8,Very Positive,19452,1981,535930,Two Point Hospital,8.4,2018-09-07,84,87,2018-08-30
6,Mostly Positive,2023,539,536270,Ancestors: The Humankind Odyssey ,7.0,2019-08-26,144,58,2019-08-26
5,Mixed,151,81,538870,EVE: Valkyrie,7.9,2016-10-15,291,60,2016-04-18
0,1 user reviews,0,1,541470,Blair Witch,8.8,2019-08-31,704,58,2019-09-05
6,Mostly Positive,3177,968,1092660,Blair Witch,8.8,2019-08-31,704,58,2019-09-05
5,Mixed,2173,2033,543460,Dead Rising 4,8.1,2016-12-05,1169,73,2016-12-09
6,Mostly Positive,1112,364,546430,Pathway,7.0,2019-04-18,21,57,2019-04-15
9,Overwhelmingly Positive,47218,623,546560,Half-Life: Alyx,10.0,2020-03-24,1750,92,2020-03-23
9,Overwhelmingly Positive,64783,2159,548430,Deep Rock Galactic,9.0,2020-05-16,95,79,2020-05-29
5,Mixed,7716,5069,548570,RAGE 2,8.0,2019-05-13,1659,70,2019-05-14
8,Very Positive,47532,11614,552500,Warhammer: Vermintide 2,8.0,2018-03-16,189,80,2018-03-11
8,Very Positive,2420,168,552590,The Sexy Brutale,8.2,2017-04-11,36,82,2017-04-18
8,Very Positive,55300,13220,552990,World of Warships,8.3,2015-09-23,184,80,2015-09-29
9,Overwhelmingly Positive,19548,789,557340,My Friend Pedro,8.5,2019-06-20,198,81,2019-06-24
9,Overwhelmingly Positive,6994,193,557600,Gorogoa,8.5,2018-01-31,34,85,2017-12-14
6,Mostly Positive,2321,734,559100,Phantom Doctrine,7.4,2018-08-14,75,62,2018-08-14
8,Very Positive,9744,1473,560130,Pillars of Eternity II: Deadfire,8.5,2018-05-09,141,88,2018-05-08
9,Overwhelmingly Positive,3324,164,562860,Ion Fury,7.5,2019-08-14,48,77,2019-08-14
8,Very Positive,2624,171,569860,Thimbleweed Park,8.5,2017-03-31,125,84,2017-03-30
4,Mostly Negative,75,174,570710,Extinction,6.6,2018-04-10,169,58,2018-04-10
8,Very Positive,6457,1025,578650,The Outer Worlds,8.5,2019-10-22,3325,79,2019-10-22
8,Very Positive,50962,10424,581320,Insurgency: Sandstorm,8.8,2018-12-27,190,85,2018-12-18
8,Very Positive,239372,50363,582010,Monster Hunter: World,9.5,2018-08-07,288,86,2018-08-07
8,Very Positive,51400,8575,582160,Assassin's Creed Origins,9.0,2017-10-26,11,84,2017-11-01
6,Mostly Positive,110,29,582880,The Elder Scrolls Online - Morrowind,8.0,2017-06-06,402,75,2017-06-08
0,No user reviews,0,0,587020,Strike Vector EX Dedicated Server,7.7,2014-02-12,0,70,2014-02-01
8,Very Positive,4893,387,587620,Okami HD,9.4,2012-10-30,384,86,2017-12-12
9,Overwhelmingly Positive,61046,2079,588650,Dead Cells,9.5,2018-08-11,1158,90,2018-08-06
5,Mixed,88,89,591790,BREACH IT,9.0,2018-02-27,119,93,2018-02-27
8,Very Positive,3122,506,593380,XCOM 2: War of the Chosen,8.8,2017-08-24,245,80,2017-08-29
8,Very Positive,75943,5372,594570,Total War: WARHAMMER II,9.1,2017-09-25,268,92,2017-09-25
5,Mixed,1043,1461,604540,Empire of Sin,4.0,2020-12-02,134,49,2020-11-30
6,Mostly Positive,9085,2320,606880,GreedFall,8.2,2019-09-17,522,67,2019-09-10
8,Very Positive,2913,498,607050,Wargroove,8.5,2019-01-30,149,78,2019-01-30
6,Mostly Positive,19019,5688,612880,Wolfenstein II: The New Colossus,9.1,2017-10-28,1696,81,2017-10-26
8,Very Positive,5522,844,614570,Dishonored: Death of the Outsider ,8.4,2017-09-17,225,82,2017-09-19
8,Very Positive,28359,5154,617290,Remnant: From the Ashes,8.0,2019-08-20,171,77,2019-08-20
8,Very Positive,65940,13366,629760,MORDHAU,8.2,2019-05-24,123,84,2019-05-17
0,No user reviews,0,0,629820,Maneater,7.0,2020-05-22,307,65,2020-05-22
8,Very Positive,23971,1422,632470,Disco Elysium,9.6,2019-10-16,198,92,2019-10-15
8,Very Positive,17245,4070,637090,BATTLETECH,7.0,2018-04-25,131,85,2018-04-24
6,Mostly Positive,15515,4304,640820,Pathfinder: Kingmaker,6.8,2018-10-18,83,69,2018-10-01
9,Overwhelmingly Positive,80842,1761,646570,Slay the Spire,9.0,2019-01-26,72,92,2019-01-24
8,Very Positive,27756,5691,648350,Jurassic World Evolution,4.8,2018-06-11,1140,71,2018-06-11
6,Mostly Positive,808,323,649950,Ashen,8.5,2018-12-12,525,85,2018-12-18
9,Overwhelmingly Positive,10870,359,653530,Return of the Obra Dinn,9.2,2018-10-23,64,90,2018-10-19
8,Very Positive,26600,2018,666140,My Time At Portia,8.0,2019-01-30,51,63,2019-02-01
8,Very Positive,27361,3522,678950,DRAGON BALL FighterZ,8.5,2018-01-22,1295,83,2018-02-06
9,Overwhelmingly Positive,34424,1196,683320,GRIS,6.5,2018-12-13,231,66,2018-12-21
8,Very Positive,2794,258,684410,Bridge Constructor Portal,8.0,2017-12-20,87,78,2017-12-20
8,Very Positive,11749,2837,690790,DiRT Rally 2.0,8.5,2019-02-20,181,87,2019-02-18
4,Mostly Negative,298,588,692840,Underworld Ascendant,3.0,2018-11-30,99,25,2018-11-21
9,Overwhelmingly Positive,24148,1073,692850,Bloodstained: Ritual of the Night,8.8,2019-06-26,810,77,2019-06-25
8,Very Positive,3310,481,702670,Donut County,7.8,2018-08-27,24,83,2018-08-28
0,No user reviews,0,0,702680,Wattam,8.0,2019-12-17,15,76,2019-12-16
8,Very Positive,30299,3789,703080,Planet Zoo,8.5,2019-11-14,82,75,2019-11-05
5,Mixed,9890,6083,704270,Generation Zero,4.0,2019-03-27,193,67,2019-03-27
8,Very Positive,5907,959,710920,Darksiders Genesis,8.7,2019-12-05,303,81,2019-12-04
5,Mixed,6407,3326,712100,Total War Saga: Thrones of Britannia,7.7,2018-05-02,43,73,2018-04-30
5,Mixed,3716,3566,717690,OVERKILL's The Walking Dead,5.3,2018-11-14,224,55,2018-11-15
6,Mostly Positive,3200,804,718850,Age of Wonders: Planetfall,8.4,2019-08-06,48,85,2019-08-05
8,Very Positive,6219,1328,719040,Wasteland 3,8.0,2020-08-28,671,84,2020-08-26
6,Mostly Positive,443,118,722560,RAD,7.6,2019-08-17,45,62,2019-08-22
8,Very Positive,627,93,725270,Necrobarista,8.0,2020-07-28,37,80,2020-07-28
9,Overwhelmingly Positive,12424,631,753640,Outer Wilds,8.4,2019-05-31,130,89,2019-05-29
8,Very Positive,14491,1485,760060,Mutant Year Zero: Road to Eden,7.9,2018-12-04,143,81,2018-12-04
8,Very Positive,978,68,761600,Onimusha: Warlords,6.5,2019-01-16,492,68,2019-01-15
8,Very Positive,100,23,762220,Afterparty,8.5,2019-10-28,124,80,2019-10-28
5,Mixed,476,212,762830,Telling Lies,9.0,2019-08-22,32,87,2019-08-21
5,Mixed,106,65,765880,The Occupation,5.9,2019-03-05,53,67,2019-03-04
5,Mixed,1816,1669,774241,Warhammer: Chaosbane,8.7,2019-05-31,115,58,2019-05-31
8,Very Positive,55298,9701,779340,Total War: THREE KINGDOMS,9.3,2019-05-16,156,78,2019-05-16
8,Very Positive,84051,10383,782330,DOOM Eternal,9.0,2020-03-25,691,94,2020-03-17
0,1 user reviews,1,0,784980,Seven: The Days Long Gone Demo,4.0,2017-12-02,82,81,2017-12-01
9,Overwhelmingly Positive,8370,199,787480,Phoenix Wright: Ace Attorney Trilogy,7.5,2019-04-09,107,83,2019-04-13
6,Mostly Positive,1161,417,790710,World of Warplanes,7.8,2013-12-17,2,74,2013-12-10
6,Mostly Positive,9866,3183,794260,Outward,5.0,2019-04-11,465,89,2019-04-10
8,Very Positive,1403,273,798490,Othercide,9.0,2020-07-28,139,76,2020-07-31
8,Very Positive,78071,10375,812140,Assassin's Creed Odyssey,9.2,2018-10-01,2753,90,2018-10-05
8,Very Positive,107093,6189,814380,Sekiro: Shadows Die Twice,9.5,2019-03-21,3142,92,2019-03-25
6,Mostly Positive,3146,1050,826630,Iron Harvest,6.0,2020-09-04,29,82,2020-08-31
9,Overwhelmingly Positive,3802,148,837470,Untitled Goose Game,8.0,2019-09-21,237,80,2019-09-23
6,Mostly Positive,417,143,839770,Phoenix Point: Year One Edition,7.0,2019-12-13,39,77,2019-12-03
8,Very Positive,371,57,847360,Super Lucky's Tale,5.0,2017-11-03,736,72,2016-03-29
8,Very Positive,2300,178,848350,Katamari Damacy REROLL,8.8,2018-12-12,119,85,2018-12-05
8,Very Positive,18396,1349,851850,DRAGON BALL Z: KAKAROT,7.0,2020-01-22,403,76,2020-01-21
5,Mixed,9407,8443,859580,Imperator: Rome,8.0,2019-04-26,42,92,2019-04-25
8,Very Positive,40880,4398,863550,HITMAN 2,7.7,2018-11-08,342,85,2016-04-28
8,Very Positive,9394,645,866800,The Walking Dead: The Final Season,7.5,2019-03-26,60,70,2019-03-26
8,Very Positive,10127,927,870780,Control,8.8,2019-08-26,996,88,2019-08-26
6,Mostly Positive,12205,4353,882100,XCOM: Chimera Squad,7.0,2020-04-23,186,72,2020-04-23
9,Overwhelmingly Positive,77728,2179,883710,Resident Evil 2,9.0,2019-01-23,3742,89,2019-01-22
5,Mixed,182,95,910830,Rebel Galaxy Outlaw,8.0,2019-08-13,57,78,2019-08-20
8,Very Positive,3162,677,916440,Anno 1800,8.1,2019-04-18,123,84,2019-04-15
6,Mostly Positive,2931,796,919640,Steel Division 2,6.9,2019-06-28,24,61,2019-06-27
5,Mixed,7908,4190,933110,Age of Empires III: Definitive Edition,6.0,2020-10-16,99,70,2020-10-16
6,Mostly Positive,3857,1491,939850,The Dark Pictures Anthology: Man of Medan,7.0,2019-08-30,166,81,2019-08-28
6,Mostly Positive,11380,3401,939960,Far Cry New Dawn,7.5,2019-02-14,582,70,2019-02-14
8,Very Positive,9405,639,953490,CARRION,7.0,2020-07-28,151,72,2020-07-30
9,Overwhelmingly Positive,5037,187,972660,Spiritfarer,9.0,2020-08-19,245,85,2020-08-18
8,Very Positive,8791,847,973760,Thronebreaker: The Witcher Tales,9.4,2018-10-24,230,81,2018-10-18
8,Very Positive,8808,793,985890,Streets of Rage 4,7.0,2020-04-29,619,76,2020-04-29
8,Very Positive,629,49,988910,Super Mega Baseball 3,8.0,2020-05-12,55,90,2020-05-12
6,Mostly Positive,3101,916,999220,Amnesia: Rebirth,8.0,2020-10-19,123,91,2020-10-19
6,Mostly Positive,1180,428,1029890,Layers of Fear 2,9.0,2019-05-24,232,57,2019-05-24
8,Very Positive,20049,2551,1030840,Mafia: Definitive Edition,8.0,2020-09-24,368,79,2020-09-24
5,Mixed,11,8,1036530,A way up!,8.3,2018-03-23,548,64,2018-03-23
5,Mixed,779,654,1038250,DIRT 5,8.0,2020-11-19,68,60,2020-11-02
5,Mixed,3202,3867,1056960,Wolfenstein: Youngblood,6.5,2019-07-25,939,79,2019-07-25
9,Overwhelmingly Positive,44878,1902,1057090,Ori and the Will of the Wisps,9.0,2020-03-10,2055,81,2020-03-10
6,Mostly Positive,1099,406,1064221,Halo: Combat Evolved Anniversary,8.2,2003-09-28,1,85,2020-03-11
8,Very Positive,16644,1097,1080110,F1 2020,9.0,2020-07-06,72,88,2020-07-10
8,Very Positive,273250,42454,1085660,Destiny 2,8.5,2017-09-16,4,85,2017-10-27
6,Mostly Positive,2299,624,1090150,Destiny 2: Forsaken,9.0,2018-09-19,1413,86,2018-09-14
5,Mixed,8668,4955,1097840,Gears 5,9.0,2019-09-14,949,78,2019-09-09
8,Very Positive,26257,3350,1100600,Football Manager 2020,8.7,2019-11-19,32,87,2019-11-14
7,Positive,24,4,1103800,World War Zero,7.4,2019-04-25,265,60,2019-05-03
0,No user reviews,0,0,1110910,Mortal Shell,8.0,2020-08-20,478,80,2020-08-17
7,Positive,37,3,1116770,Shovel Knight Showdown,9.0,2014-06-26,4144,80,2014-07-02
8,Very Positive,15108,1392,1139900,Ghostrunner,8.0,2020-10-26,151,81,2020-11-19
8,Very Positive,425,46,1140290,Murder by Numbers,8.0,2020-03-12,24,71,2020-03-13
0,2 user reviews,1,1,1140900,The Chasm,7.0,2018-07-31,135,78,2018-07-31
9,Overwhelmingly Positive,92415,949,1145360,Hades,9.0,2020-09-17,277,90,2020-09-18
6,Mostly Positive,29256,10713,1151340,Fallout 76,5.0,2018-11-22,3899,60,2018-11-21
0,No user reviews,0,0,1155840,Magnum Opus,9.5,2017-12-14,54,91,2017-12-20
8,Very Positive,38670,2430,1158310,Crusader Kings III,10.0,2020-08-31,574,94,2020-08-31
9,Overwhelmingly Positive,527,16,1160220,Paradise Killer,9.0,2020-09-26,77,91,2020-09-03
8,Very Positive,51850,5371,1172380,STAR WARS Jedi: Fallen Order ,9.0,2019-11-15,3568,73,2019-11-25
8,Very Positive,85653,5159,1172470,Apex Legends,9.0,2019-02-12,1356,93,2019-02-12
8,Very Positive,64540,7324,1172620,Sea of Thieves,7.0,2018-03-28,5037,72,2018-03-23
8,Very Positive,1031,113,1180660,Tell Me Why,7.0,2020-08-28,213,69,2020-09-02
6,Mostly Positive,2848,863,1184050,Gears Tactics,8.0,2020-04-27,1131,83,2020-04-27
5,Mixed,1071,471,1189800,Bleeding Edge,7.0,2020-02-28,657,58,2020-03-30
6,Mostly Positive,2040,608,1194630,The Dark Pictures Anthology: Little Hope,5.0,2020-10-29,185,74,2020-10-29
0,8 user reviews,8,0,1203240,Remember,5.9,2013-06-03,2100,68,2013-06-04
8,Very Positive,8102,1032,1222670,The Sims 4,7.5,2014-09-02,7,79,2014-09-09
8,Very Positive,12740,2722,1222680,Need for Speed Heat ,8.0,2019-11-08,392,75,2019-11-15
6,Mostly Positive,1849,646,1222690,Dragon Age Inquisition,8.8,2014-11-11,11495,87,2014-11-11
6,Mostly Positive,11454,4406,1222730,STAR WARS: Squadrons,7.0,2020-10-07,366,83,2020-10-03
8,Very Positive,801,72,1225560,Unravel,8.3,2016-02-08,806,70,2016-02-13
8,Very Positive,438,55,1225590,Sea of Solitude,6.5,2019-07-05,136,64,2019-07-12
8,Very Positive,2594,457,1233570,Mirror's Edge Catalyst,6.8,2016-06-07,2446,78,2016-06-06
9,Overwhelmingly Positive,4749,105,1235140,Yakuza: Like a Dragon,7.0,2020-11-04,570,72,2020-11-04
8,Very Positive,9248,1237,1237950,STAR WARS Battlefront II,6.5,2017-11-18,9600,63,2017-11-17
9,Overwhelmingly Positive,39232,1534,1237970,Titanfall 2,9.0,2016-10-29,4516,91,2016-10-31
6,Mostly Positive,660,212,1237980,STAR WARS Battlefront,8.0,2015-11-13,13668,72,2015-11-18
8,Very Positive,1923,464,1238000,Mass Effect: Andromeda,7.7,2017-03-20,11232,80,2017-03-20
8,Very Positive,6621,1324,1238840,Battlefield 1 ,9.0,2016-10-22,0,89,2016-10-21
8,Very Positive,6528,1249,1238860,Battlefield 4 ,8.5,2013-10-29,0,84,2013-10-29
5,Mixed,544,306,1238880,Battlefield Hardline,8.0,2015-03-17,8998,76,2015-03-20
6,Mostly Positive,13990,5012,1250410,Microsoft Flight Simulator,10.0,2020-08-17,3523,89,2020-08-20
6,Mostly Positive,3472,1420,1262540,Need for Speed,6.3,2015-11-03,2199,50,2016-03-23
8,Very Positive,3516,811,1262560,Need for Speed Most Wanted,8.5,2005-11-10,0,85,2012-11-02
0,No user reviews,0,0,1275440,Dungeon of the Endless Original Soundtrack,8.1,2014-11-13,0,77,2014-10-28
8,Very Positive,15038,1789,1286830,STAR WARS: The Old Republic,9.0,2012-01-07,1,93,2011-12-22
5,Mixed,1354,1212,1314563,Destiny 2: Beyond Light,7.0,2020-11-25,162,80,2020-11-24
5,Mixed,5,6,1350120,Story,8.5,2015-06-30,393,90,2015-06-22
5,Mixed,33,17,1405790,John Wick Hex,6.8,2019-10-09,57,80,2019-10-08
6,Mostly Positive,339,91,1454890,Titanfall,8.9,2014-03-10,67716,86,2014-03-18
